name,platform,year,genre,publisher,critic_score,user_score,total_sales,na_sales,jp_sales,pal_sales,other_sales
Wii Sports,Wii,2006.0,Sports,Nintendo,41.85,8.0,82.53,41.36,3.77,28.96,8.45
Super Mario Bros.,NES,1985.0,Platform,Nintendo,,,40.24,29.08,6.81,3.58,0.77
Duck Hunt,NES,1984.0,Shooter,Nintendo,,,28.31,26.93,0.28,0.63,0.47
Tetris,GB,1989.0,Puzzle,Nintendo,,,30.26,23.2,4.22,2.26,0.58
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,45.1,8.7,35.52,15.68,3.79,12.76,3.29
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,44.0,8.4,32.77,15.61,3.28,10.93,2.95
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,33.85,,21.81,15.0,0.24,4.89,1.69
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,47.8,8.8,28.32,14.44,4.7,6.94,2.24
Wii Play,Wii,2006.0,Misc,Nintendo,31.95,6.55,28.92,13.96,2.93,9.18,2.84
Super Mario World,SNES,1990.0,Platform,Nintendo,,,20.61,12.78,3.54,3.75,0.55
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,49.05,8.3,29.8,11.28,6.5,9.14,2.88
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,,,31.37,11.27,10.22,8.89,1.0
Super Mario Land,GB,1989.0,Platform,Nintendo,,,18.14,10.83,4.18,2.71,0.42
Mario Kart DS,DS,2005.0,Racing,Nintendo,50.05,9.0,23.21,9.71,4.13,7.47,1.9
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,47.9,,14.675,9.73,0.11,3.705,1.1349999999999998
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,53.2,8.2,16.064999999999998,9.36,0.06,5.234999999999999,1.415
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,,,17.28,9.54,3.84,3.44,0.46
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,52.25,9.05,20.81,9.43,0.41,0.4,10.57
Nintendogs,DS,2005.0,Simulation,Nintendo,,,24.67,9.05,1.93,10.95,2.74
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,48.35,,14.775,9.055,0.13,4.265000000000001,1.3250000000000002
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,44.0,,21.79,9.01,2.53,8.49,1.77
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,,,23.1,9.0,7.2,6.18,0.71
Wii Fit,Wii,2007.0,Sports,Nintendo,43.95,,22.7,8.92,3.6,8.03,2.15
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,51.75,7.65,13.5,8.53,0.08,3.61,1.28
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,52.3,8.75,16.15,8.41,0.47,5.49,1.78
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,46.15,,13.765,8.26,0.07,4.28,1.1600000000000001
